,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,Datetime,Month,Count post,,Category,Score,Count,Reaction Type,,,Month,Count post
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,7/11/2020 9:43,photo,studying,negative,0,,11/7/2020,11,2034,,animals,74965,1897,disgust,,,12,2092
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17/6/21 12:22,photo,studying,negative,10,,6/17/2021,6,2021,,science,71168,1796,dislike,,,11,2034
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18/4/21 5:13,photo,studying,negative,15,,4/18/2021,4,1974,,healthy eating,69339,1717,scared,,,10,2056
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,6/1/2021 19:13,photo,studying,negative,0,,1/6/2021,1,2126,,technology,68738,1698,interested,,,9,2022
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/8/20 12:25,photo,studying,positive,30,,8/23/2020,8,2114,,food,66676,1699,peeking,,,8,2114
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,7/12/2020 6:27,photo,studying,neutral,35,,12/7/2020,12,2092,,culture,66579,1676,cherish,,,7,2070
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/4/2021 17:35,photo,studying,positive,70,,4/11/2021,4,1974,,travel,64880,1647,hate,,,6,2021
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/1/21 8:32,photo,studying,negative,5,,1/27/2021,1,2126,,cooking,64756,1664,love,,,5,2138
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,1/4/2021 22:54,photo,studying,neutral,35,,4/1/2021,4,1974,,soccer,57783,1457,indifferent,,,4,1974
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,4/8/2020 5:05,photo,studying,positive,65,,8/4/2020,8,2114,,education,57436,1433,super love,,,3,2012
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,7/11/2020 8:36,photo,studying,neutral,20,,11/7/2020,11,2034,,fitness,55323,1395,intrigued,,,2,1914
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2/11/2020 6:28,photo,studying,negative,15,,11/2/2020,11,2034,,studying,54269,1363,worried,,,1,2126
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,1/11/2020 1:16,photo,studying,positive,30,,11/1/2020,11,2034,,dogs,52511,1338,like,,,,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,7/10/2020 18:39,photo,studying,negative,5,,10/7/2020,10,2056,,tennis,50339,1328,heart,,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,3/9/2020 18:51,photo,studying,negative,15,,9/3/2020,9,2022,,veganism,49619,1248,want,,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/2/21 5:09,photo,studying,positive,75,,2/24/2021,2,1914,,public speaking,49264,1217,adore,,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23/9/20 6:24,photo,studying,neutral,35,,9/23/2020,9,2022,,,,,,,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/2/21 11:37,photo,studying,neutral,20,,2/24/2021,2,1914,,,,,,,,,
